1918.3333,-2257.5476,19.3346,1916.1844,-2306.5242,78.64460,0,,10.0
1916.1844,-2306.5242,78.6446,1701.5432,-2387.9390,113.0942,0,0, 10.0
1701.5432,-2387.9390,113.0942,1447.6058,-2242.4688,144.6308,0,0, 10.0
1447.6058,-2242.4688,144.6308,1210.0662,-2004.8344,152.9503,0,0, 10.0
1210.0662,-2004.8344,152.9503,925.8694,-1798.6184,136.2259,0,0, 10.0
925.8694,-1798.6184,136.2259,535.4799,-1650.8319,122.6211,0,0, 10.0
535.4799,-1650.8319,122.6211,20.3207,-1320.7156,146.6390,0,0, 10.0
20.3207,-1320.7156,146.6390,-209.3477,-1445.8248,147.5437,0,0, 10.0
-209.3477,-1445.8248,147.5437,75.2898,-2016.5239,123.6778,0,0, 10.0
75.2898,-2016.5239,123.6778,370.7771,-2128.4263,143.4955,0,0, 10.0
370.7771,-2128.4263,143.4955,943.4516,-2188.8318,165.2468,0,0, 10.0
943.4516,-2188.8318,165.2468,1463.1583,-2273.5215,140.7639,0,0, 10.0
1463.1583,-2273.5215,140.7639,1930.7386,-2248.5745,14.9643,0,0, 10.0
1930.7386,-2248.5745,14.9643,1930.7386,-2248.5745,14.9643,0,0, 10.0
